CARD NAME,RELEASE DATE,SET,RARITY,Shandalar ID,Gatherer ID,TYPE,COST,POWER,TOUGHNESS,TEXT,CTYPE,COLOR_IDENTITY
Hand of Honor,6/1/2005,Saviors of Kamigawa,Uncommon,.7654,74173,Creature - Human Samurai,{W}{W},2,2,"Protection from black<br>Bushido 1 <i>(When this blocks or becomes blocked, it gets +1/+1 until end of turn.)</i>",mono,{W}
Haru-Onna,6/1/2005,Saviors of Kamigawa,Uncommon,.7655,74062,Creature - Spirit,{3}{G},2,1,"When Haru-Onna enters the battlefield, draw a card.<br>Whenever you cast a Spirit or Arcane spell, you may return Haru-Onna to its owner's hand.",mono,{G}
Inner-Chamber Guard,6/1/2005,Saviors of Kamigawa,Uncommon,.7665,74002,Creature - Human Samurai,{1}{W},0,2,"Bushido 2 <i>(When this blocks or becomes blocked, it gets +2/+2 until end of turn.)</i>",mono,{W}
Ivory Crane Netsuke,6/1/2005,Saviors of Kamigawa,Uncommon,.7667,88796,Artifact,{2},,,"At the beginning of your upkeep, if you have seven or more cards in hand, you gain 4 life.",colorless,
Kami of the Tended Garden,6/1/2005,Saviors of Kamigawa,Uncommon,.7673,74217,Creature - Spirit,{3}{G},4,4,"At the beginning of your upkeep, sacrifice Kami of the Tended Garden unless you pay {G}.<br>Soulshift 3 <i>(When this creature dies, you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand.)</i>",mono,{G}
Kashi-Tribe Elite,6/1/2005,Saviors of Kamigawa,Uncommon,.7674,74195,Creature - Snake Warrior,{1}{G}{G},2,3,"Legendary Snakes you control have shroud. <i>(They can't be the targets of spells or abilities.)</i><br>Whenever Kashi-Tribe Elite deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.",mono,{G}
Kemuri-Onna,6/1/2005,Saviors of Kamigawa,Uncommon,.7676,84705,Creature - Spirit,{4}{B},3,3,"When Kemuri-Onna enters the battlefield, target player discards a card.<br>Whenever you cast a Spirit or Arcane spell, you may return Kemuri-Onna to its owner's hand.",mono,{B}
Kiku's Shadow,6/1/2005,Saviors of Kamigawa,Uncommon,.7677,74157,Sorcery,{B}{B},,,Target creature deals damage to itself equal to its power.,mono,{B}
Kiri-Onna,6/1/2005,Saviors of Kamigawa,Uncommon,.7678,84704,Creature - Spirit,{4}{U},2,2,"When Kiri-Onna enters the battlefield, return target creature to its owner's hand.<br>Whenever you cast a Spirit or Arcane spell, you may return Kiri-Onna to its owner's hand.",mono,{U}
Locust Miser,6/1/2005,Saviors of Kamigawa,Uncommon,.7686,74394,Creature - Rat Shaman,{2}{B}{B},2,2,Each opponent's maximum hand size is reduced by two.,mono,{B}
Molting Skin,6/1/2005,Saviors of Kamigawa,Uncommon,.7697,87331,Enchantment,{2}{G},,,Return Molting Skin to its owner's hand: Regenerate target creature.,mono,{G}
Nikko-Onna,6/1/2005,Saviors of Kamigawa,Uncommon,.7703,84639,Creature - Spirit,{2}{W},2,2,"When Nikko-Onna enters the battlefield, destroy target enchantment.<br>Whenever you cast a Spirit or Arcane spell, you may return Nikko-Onna to its owner's hand.",mono,{W}
Oni of Wild Places,6/1/2005,Saviors of Kamigawa,Uncommon,.7710,74048,Creature - DeSpirit,{5}{R},6,5,"Haste<br>At the beginning of your upkeep, return a red creature you control to its owner's hand.",mono,{R}
Overwhelming Intellect,6/1/2005,Saviors of Kamigawa,Uncommon,.7712,89403,Instant,{4}{U}{U},,,Counter target creature spell. Draw cards equal to that spell's converted mana cost.,mono,{U}
Presence of the Wise,6/1/2005,Saviors of Kamigawa,Uncommon,.7717,74216,Sorcery,{2}{W}{W},,,You gain 2 life for each card in your hand.,mono,{W}
Razorjaw Oni,6/1/2005,Saviors of Kamigawa,Uncommon,.7723,74396,Creature - DeSpirit,{3}{B},4,5,Black creatures can't block.,mono,{B}
Rushing-Tide Zubera,6/1/2005,Saviors of Kamigawa,Uncommon,.7730,50430,Creature - Zubera Spirit,{2}{U}{U},3,3,"When Rushing-Tide Zubera dies, if 4 or more damage was dealt to it this turn, draw three cards.",mono,{U}
Secretkeeper,6/1/2005,Saviors of Kamigawa,Uncommon,.7736,89398,Creature - Spirit,{3}{U},2,2,"As long as you have more cards in hand than each opponent, Secretkeeper gets +2/+2 and has flying.",mono,{U}
Seek the Horizon,6/1/2005,Saviors of Kamigawa,Uncommon,.7738,74056,Sorcery,{3}{G},,,"Search your library for up to three basic land cards, reveal them, and put them into your hand. Then shuffle your library.",mono,{G}
Skull Collector,6/1/2005,Saviors of Kamigawa,Uncommon,.7748,88797,Creature - Ogre Warrior,{1}{B}{B},3,3,"At the beginning of your upkeep, return a black creature you control to its owner's hand.<br>{1}{B}: Regenerate Skull Collector.",mono,{B}
Sokenzan Renegade,6/1/2005,Saviors of Kamigawa,Uncommon,.7750,74133,Creature - Ogre Samurai Mercenary,{2}{R},3,3,"Bushido 1 <i>(When this blocks or becomes blocked, it gets +1/+1 until end of turn.)</i><br>At the beginning of your upkeep, if a player has more cards in hand than each other player, the player who has the most cards in hand gains control of Sokenzan Renegade.",mono,{R}
Soratami Cloud Chariot,6/1/2005,Saviors of Kamigawa,Uncommon,.7753,74174,Artifact,{5},,,{2}: Target creature you control gains flying until end of turn.<br>{2}: Prevent all combat damage that would be dealt to and dealt by target creature you control this turn.,colorless,
Stampeding Serow,6/1/2005,Saviors of Kamigawa,Uncommon,.7756,74407,Creature - Antelope Beast,{2}{G}{G},5,4,"Trample<br>At the beginning of your upkeep, return a green creature you control to its owner's hand.",mono,{G}
Trusted Advisor,6/1/2005,Saviors of Kamigawa,Uncommon,.7761,88804,Creature - Human Advisor,{U},1,2,"Your maximum hand size is increased by two.<br>At the beginning of your upkeep, return a blue creature you control to its owner's hand.",mono,{U}
Yuki-Onna,6/1/2005,Saviors of Kamigawa,Uncommon,.7764,84712,Creature - Spirit,{3}{R},3,1,"When Yuki-Onna enters the battlefield, destroy target artifact.<br>Whenever you cast a Spirit or Arcane spell, you may return Yuki-Onna to its owner's hand.",mono,{R}
"Adamaro, First to Desire",6/1/2005,Saviors of Kamigawa,Rare,.7597,74187,Legendary Creature - Spirit,{1}{R}{R},*,*,"Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.",mono,{R}
Bounteous Kirin,6/1/2005,Saviors of Kamigawa,Rare,.7608,78585,Legendary Creature - Kirin Spirit,{5}{G}{G},4,4,"Flying<br>Whenever you cast a Spirit or Arcane spell, you may gain life equal to that spell's converted mana cost.",mono,{G}
Celestial Kirin,6/1/2005,Saviors of Kamigawa,Rare,.7612,84380,Legendary Creature - Kirin Spirit,{2}{W}{W},3,3,"Flying<br>Whenever you cast a Spirit or Arcane spell, destroy all permanents with that spell's converted mana cost.",mono,{W}
Cloudhoof Kirin,6/1/2005,Saviors of Kamigawa,Rare,.7615,89399,Legendary Creature - Kirin Spirit,{3}{U}{U},4,4,"Flying<br>Whenever you cast a Spirit or Arcane spell, you may put the top X cards of target player's library into his or her graveyard, where X is that spell's converted mana cost.",mono,{U}
Endless Swarm,6/1/2005,Saviors of Kamigawa,Rare,.7632,87594,Sorcery,{5}{G}{G}{G},,,"Put a 1/1 green Snake creature token onto the battlefield for each card in your hand.<br>Epic <i>(For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability.)</i>",mono,{G}
Enduring Ideal,6/1/2005,Saviors of Kamigawa,Rare,.7633,87598,Sorcery,{5}{W}{W},,,"Search your library for an enchantment card and put it onto the battlefield. Then shuffle your library.<br>Epic <i>(For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability.)</i>",mono,{W}
Eternal Dominion,6/1/2005,Saviors of Kamigawa,Rare,.7636,87593,Sorcery,{7}{U}{U}{U},,,"Search target opponent's library for an artifact, creature, enchantment, or land card. Put that card onto the battlefield under your control. Then that player shuffles his or her library.<br>Epic <i>(For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability. You may choose a new target for the copy.)</i>",mono,{U}
Hidetsugu's Second Rite,6/1/2005,Saviors of Kamigawa,Rare,.7656,88818,Instant,{3}{R},,,"If target player has exactly 10 life, Hidetsugu's Second Rite deals 10 damage to that player.",mono,{R}
Iizuka the Ruthless,6/1/2005,Saviors of Kamigawa,Rare,.7660,79860,Legendary Creature - Human Samurai,{3}{R}{R},3,3,"Bushido 2 <i>(When this blocks or becomes blocked, it gets +2/+2 until end of turn.)</i><br>{2}{R}, Sacrifice a Samurai: Samurai creatures you control gain double strike until end of turn.",mono,{R}
Iname as One,6/1/2005,Saviors of Kamigawa,Rare,.7661,74618,Legendary Creature - Spirit,{8}{B}{B}{G}{G},8,8,"When Iname as One enters the battlefield, if you cast it from your hand, you may search your library for a Spirit permanent card, put it onto the battlefield, then shuffle your library.<br>When Iname as One dies, you may exile it. If you do, return target Spirit permanent card from your graveyard to the battlefield.",multi,{B}{G}
Infernal Kirin,6/1/2005,Saviors of Kamigawa,Rare,.7662,74377,Legendary Creature - Kirin Spirit,{2}{B}{B},3,3,"Flying<br>Whenever you cast a Spirit or Arcane spell, target player reveals his or her hand and discards all cards with that spell's converted mana cost.",mono,{B}
"Kagemaro, First to Suffer",6/1/2005,Saviors of Kamigawa,Rare,.7670,74016,Legendary Creature - DeSpirit,{3}{B}{B},*,*,"Kagemaro, First to Suffer's power and toughness are each equal to the number of cards in your hand.<br>{B}, Sacrifice Kagemaro: All creatures get -X/-X until end of turn, where X is the number of cards in your hand.",mono,{B}
Kami of the Crescent Moon,6/1/2005,Saviors of Kamigawa,Rare,.1315,84364,Legendary Creature - Spirit,{U}{U},1,3,"At the beginning of each player's draw step, that player draws an additional card.",mono,{U}
"Kataki, War's Wage",6/1/2005,Saviors of Kamigawa,Rare,.7675,74190,Legendary Creature - Spirit,{1}{W},2,1,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {1}.""",mono,{W}
"Kiyomaro, First to Stand",6/1/2005,Saviors of Kamigawa,Rare,.7682,74054,Legendary Creature - Spirit,{3}{W}{W},*,*,"Kiyomaro, First to Stand's power and toughness are each equal to the number of cards in your hand.<br>As long as you have four or more cards in hand, Kiyomaro has vigilance.<br>Whenever Kiyomaro deals damage, if you have seven or more cards in hand, you gain 7 life.",mono,{W}
"Maga, Traitor to Mortals",6/1/2005,Saviors of Kamigawa,Rare,.7687,88802,Legendary Creature - Human Wizard,{X}{B}{B}{B},0,0,"Maga, Traitor to Mortals enters the battlefield with X +1/+1 counters on it.<br>When Maga enters the battlefield, target player loses life equal to the number of +1/+1 counters on it.",mono,{B}
"Masumaro, First to Live",6/1/2005,Saviors of Kamigawa,Rare,.7689,74184,Legendary Creature - Spirit,{3}{G}{G}{G},*,*,"Masumaro, First to Live's power and toughness are each equal to twice the number of cards in your hand.",mono,{G}
"Meishin, the Mind Cage",6/1/2005,Saviors of Kamigawa,Rare,.7692,89406,Legendary Enchantment,{4}{U}{U}{U},,,"All creatures get -X/-0, where X is the number of cards in your hand.",mono,{U}
"Michiko Konda, Truth Seeker",6/1/2005,Saviors of Kamigawa,Rare,.7693,84359,Legendary Creature - Human Advisor,{3}{W},2,2,"Whenever a source an opponent controls deals damage to you, that player sacrifices a permanent.",mono,{W}
Neverending Torment,6/1/2005,Saviors of Kamigawa,Rare,.7701,87601,Sorcery,{4}{B}{B},,,"Search target player's library for X cards, where X is the number of cards in your hand, and exile them. Then that player shuffles his or her library.<br>Epic <i>(For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability. You may choose a new target for the copy.)</i>",mono,{B}
One with Nothing,6/1/2005,Saviors of Kamigawa,Rare,.7709,88817,Instant,{B},,,Discard your hand.,mono,{B}
Promise of Bunrei,6/1/2005,Saviors of Kamigawa,Rare,.7718,84376,Enchantment,{2}{W},,,"When a creature you control dies, sacrifice Promise of Bunrei. If you do, put four 1/1 colorless Spirit creature tokens onto the battlefield.",mono,{W}
Rally the Horde,6/1/2005,Saviors of Kamigawa,Rare,.7721,74411,Sorcery,{5}{R},,,"Exile the top card of your library. Exile the top card of your library. Exile the top card of your library. If the last card exiled isn't a land, repeat this process. Put a 1/1 red Warrior creature token onto the battlefield for each nonland card exiled this way.",mono,{R}
"Reki, the History of Kamigawa",6/1/2005,Saviors of Kamigawa,Rare,.7724,74604,Legendary Creature - Human Shaman,{2}{G},1,2,"Whenever you cast a legendary spell, draw a card.",mono,{G}
Reverence,6/1/2005,Saviors of Kamigawa,Rare,.7726,84371,Enchantment,{2}{W}{W},,,Creatures with power 2 or less can't attack you.,mono,{W}
Scroll of Origins,6/1/2005,Saviors of Kamigawa,Rare,.7735,88811,Artifact,{2},,,"{2}, {T}: Draw a card if you have seven or more cards in hand.",colorless,
Seed the Land,6/1/2005,Saviors of Kamigawa,Rare,.7737,74168,Enchantment,{2}{G}{G},,,"Whenever a land enters the battlefield, its controller puts a 1/1 green Snake creature token onto the battlefield.",mono,{G}
Skyfire Kirin,6/1/2005,Saviors of Kamigawa,Rare,.7749,88793,Legendary Creature - Kirin Spirit,{2}{R}{R},3,3,"Flying<br>Whenever you cast a Spirit or Arcane spell, you may gain control of target creature with that spell's converted mana cost until end of turn.",mono,{R}
"Soramaro, First to Dream",6/1/2005,Saviors of Kamigawa,Rare,.7752,74170,Legendary Creature - Spirit,{4}{U}{U},*,*,"Flying<br>Soramaro, First to Dream's power and toughness are each equal to the number of cards in your hand.<br>{4}, Return a land you control to its owner's hand: Draw a card.",mono,{U}
Thoughts of Ruin,6/1/2005,Saviors of Kamigawa,Rare,.7758,74374,Sorcery,{2}{R}{R},,,Each player sacrifices a land for each card in your hand.,mono,{R}
Twincast,6/1/2005,Saviors of Kamigawa,Rare,.1271,80412,Instant,{U}{U},,,Copy target instant or sorcery spell. You may choose new targets for the copy.,mono,{U}
Undying Flames,6/1/2005,Saviors of Kamigawa,Rare,.7762,87602,Sorcery,{4}{R}{R},,,"Exile cards from the top of your library until you exile a nonland card. Undying Flames deals damage to target creature or player equal to that card's converted mana cost.<br>Epic <i>(For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability. You may choose a new target for the copy.)</i>",mono,{R}
Veteran Cavalier,7/1/2005,Ninth Edition,Common,.4367,84622,Creature - Human Knight,{W}{W},2,2,Vigilance <i>(Attacking doesn't cause this creature to tap.)</i>,mono,{W}
Dancing Scimitar,7/1/2005,Ninth Edition,Uncommon,.931,84114,Artifact Creature - Spirit,{4},1,5,Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>,colorless,
Gift of Estates,7/1/2005,Ninth Edition,Uncommon,.2905,84504,Sorcery,{1}{W},,,"If an opponent controls more lands than you, search your library for up to three Plains cards, reveal them, and put them into your hand. Then shuffle your library.",mono,{W}
Web,7/1/2005,Ninth Edition,Uncommon,.281,83994,Enchantment - Aura,{G},,,Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>Enchanted creature gets +0/+2 and has reach. <i>(It can block creatures with flying.)</i>,mono,{G}
Barbarian Riftcutter,10/1/2005,Ravnica: City of Guilds,Common,.7768,87972,Creature - Human Barbarian,{4}{R},3,3,"{R}, Sacrifice Barbarian Riftcutter: Destroy target land.",mono,{R}
Benevolent Ancestor,10/1/2005,Ravnica: City of Guilds,Common,.7771,89047,Creature - Spirit,{2}{W},0,4,Defender <i>(This creature can't attack.)</i><br>{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,mono,{W}
Boros Fury-Shield,10/1/2005,Ravnica: City of Guilds,Common,.7777,89006,Instant,{2}{W},,,"Prevent all combat damage that would be dealt by target attacking or blocking creature this turn. If {R} was spent to cast Boros Fury-Shield, it deals damage to that creature's controller equal to the creature's power.",mono,{W}{R}
Boros Garrison,10/1/2005,Ravnica: City of Guilds,Common,.7778,83900,Land,,,,"Boros Garrison enters the battlefield tapped.<br>When Boros Garrison enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {R}{W} to your mana pool.",land,{W}{R}
Boros Recruit,10/1/2005,Ravnica: City of Guilds,Common,.7780,88992,Creature - Goblin Soldier,{R/W},1,1,<i>({R/W} can be paid with either {R} or {W}.)</i><br>First strike,hybrid,{W}{R}
Bramble Elemental,10/1/2005,Ravnica: City of Guilds,Common,.7784,87964,Creature - Elemental,{3}{G}{G},4,4,"Whenever an Aura becomes attached to Bramble Elemental or enters the battlefield attached to Bramble Elemental, put two 1/1 green Saproling creature tokens onto the battlefield.",mono,{G}
Centaur Safeguard,10/1/2005,Ravnica: City of Guilds,Common,.7789,87959,Creature - Centaur Warrior,{2}{G/W},3,1,"<i>({G/W} can be paid with either {G} or {W}.)</i><br>When Centaur Safeguard dies, you may gain 3 life.",hybrid,{W}{G}
Civic Wayfinder,10/1/2005,Ravnica: City of Guilds,Common,.1623,83584,Creature - Elf Warrior Druid,{2}{G},2,2,"When Civic Wayfinder enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.",mono,{G}
Clinging Darkness,10/1/2005,Ravnica: City of Guilds,Common,.7796,83822,Enchantment - Aura,{1}{B},,,Enchant creature<br>Enchanted creature gets -4/-1.,mono,{B}
Compulsive Research,10/1/2005,Ravnica: City of Guilds,Common,.1549,87991,Sorcery,{2}{U},,,Target player draws three cards. Then that player discards two cards unless he or she discards a land card.,mono,{U}
Convolute,10/1/2005,Ravnica: City of Guilds,Common,.7806,88998,Instant,{2}{U},,,Counter target spell unless its controller pays {4}.,mono,{U}
Courier Hawk,10/1/2005,Ravnica: City of Guilds,Common,.7808,87913,Creature - Bird,{1}{W},1,2,"Flying, vigilance",mono,{W}
Dimir Aqueduct,10/1/2005,Ravnica: City of Guilds,Common,.1727,87929,Land,,,,"Dimir Aqueduct enters the battlefield tapped.<br>When Dimir Aqueduct enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {U}{B} to your mana pool.",land,{U}{B}
Dogpile,10/1/2005,Ravnica: City of Guilds,Common,.7823,87921,Instant,{3}{R},,,Dogpile deals damage to target creature or player equal to the number of attacking creatures you control.,mono,{R}
Drake Familiar,10/1/2005,Ravnica: City of Guilds,Common,.7826,87960,Creature - Drake,{1}{U},2,1,"Flying<br>When Drake Familiar enters the battlefield, sacrifice it unless you return an enchantment to its owner's hand.",mono,{U}
Dromad Purebred,10/1/2005,Ravnica: City of Guilds,Common,.7829,87911,Creature - Camel Beast,{4}{W},1,5,"Whenever Dromad Purebred is dealt damage, you gain 1 life.",mono,{W}
Dryad's Caress,10/1/2005,Ravnica: City of Guilds,Common,.7831,87958,Instant,{4}{G}{G},,,"You gain 1 life for each creature on the battlefield. If {W} was spent to cast Dryad's Caress, untap all creatures you control.",mono,{W}{G}
Elves of Deep Shadow,10/1/2005,Ravnica: City of Guilds,Common,.313,83833,Creature - Elf Druid,{G},1,1,{T}: Add {B} to your mana pool. Elves of Deep Shadow deals 1 damage to you.,mono,{B}{G}
Elvish Skysweeper,10/1/2005,Ravnica: City of Guilds,Common,.7833,87928,Creature - Elf Warrior,{G},1,1,"{4}{G}, Sacrifice a creature: Destroy target creature with flying.",mono,{G}
Farseek,10/1/2005,Ravnica: City of Guilds,Common,.1507,87970,Sorcery,{1}{G},,,"Search your library for a Plains, Island, Swamp, or Mountain card and put it onto the battlefield tapped. Then shuffle your library.",mono,{G}
Fists of Ironwood,10/1/2005,Ravnica: City of Guilds,Common,.7842,83672,Enchantment - Aura,{1}{G},,,"Enchant creature<br>When Fists of Ironwood enters the battlefield, put two 1/1 green Saproling creature tokens onto the battlefield.<br>Enchanted creature has trample.",mono,{G}
Flight of Fancy,10/1/2005,Ravnica: City of Guilds,Common,.7847,83677,Enchantment - Aura,{3}{U},,,"Enchant creature<br>When Flight of Fancy enters the battlefield, draw two cards.<br>Enchanted creature has flying.",mono,{U}
Galvanic Arc,10/1/2005,Ravnica: City of Guilds,Common,.7851,87968,Enchantment - Aura,{2}{R},,,"Enchant creature<br>When Galvanic Arc enters the battlefield, it deals 3 damage to target creature or player.<br>Enchanted creature has first strike.",mono,{R}
Gate Hound,10/1/2005,Ravnica: City of Guilds,Common,.7852,87982,Creature - Hound,{2}{W},1,1,Creatures you control have vigilance as long as Gate Hound is enchanted.,mono,{W}
Golgari Rot Farm,10/1/2005,Ravnica: City of Guilds,Common,.1726,87939,Land,,,,"Golgari Rot Farm enters the battlefield tapped.<br>When Golgari Rot Farm enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {B}{G} to your mana pool.",land,{B}{G}
Golgari Rotwurm,10/1/2005,Ravnica: City of Guilds,Common,.7864,89038,Creature - Zombie Wurm,{3}{B}{G},5,4,"{B}, Sacrifice a creature: Target player loses 1 life.",multi,{B}{G}
Grayscaled Gharial,10/1/2005,Ravnica: City of Guilds,Common,.7868,87914,Creature - Crocodile,{U},1,1,Islandwalk,mono,{U}
Incite Hysteria,10/1/2005,Ravnica: City of Guilds,Common,.7884,87993,Sorcery,{2}{R},,,"Radiance- Until end of turn, target creature and each other creature that shares a color with it gain ""This creature can't block.""",mono,{R}
Induce Paranoia,10/1/2005,Ravnica: City of Guilds,Common,.7886,87924,Instant,{2}{U}{U},,,"Counter target spell. If {B} was spent to cast Induce Paranoia, that spell's controller puts the top X cards of his or her library into his or her graveyard, where X is the spell's converted mana cost.",mono,{U}{B}
Infectious Host,10/1/2005,Ravnica: City of Guilds,Common,.7887,87966,Creature - Zombie,{2}{B},1,1,"When Infectious Host dies, target player loses 2 life.",mono,{B}
Last Gasp,10/1/2005,Ravnica: City of Guilds,Common,.1444,89056,Instant,{1}{B},,,Target creature gets -3/-3 until end of turn.,mono,{B}
Leave No Trace,10/1/2005,Ravnica: City of Guilds,Common,.7893,87954,Instant,{1}{W},,,Radiance- Destroy target enchantment and each other enchantment that shares a color with it.,mono,{W}
Necromantic Thirst,10/1/2005,Ravnica: City of Guilds,Common,.7909,87985,Enchantment - Aura,{2}{B}{B},,,"Enchant creature<br>Whenever enchanted creature deals combat damage to a player, you may return target creature card from your graveyard to your hand.",mono,{B}
Nightguard Patrol,10/1/2005,Ravnica: City of Guilds,Common,.7912,87975,Creature - Human Soldier,{2}{W},2,1,"First strike, vigilance",mono,{W}
Peel from Reality,10/1/2005,Ravnica: City of Guilds,Common,.7920,87951,Instant,{1}{U},,,Return target creature you control and target creature you don't control to their owners' hands.,mono,{U}
Quickchange,10/1/2005,Ravnica: City of Guilds,Common,.7930,87979,Instant,{1}{U},,,Target creature becomes the color or colors of your choice until end of turn.<br>Draw a card.,mono,{U}
Rain of Embers,10/1/2005,Ravnica: City of Guilds,Common,.7931,87943,Sorcery,{1}{R},,,Rain of Embers deals 1 damage to each creature and each player.,mono,{R}
Rally the Righteous,10/1/2005,Ravnica: City of Guilds,Common,.7932,83680,Instant,{1}{R}{W},,,Radiance- Untap target creature and each other creature that shares a color with it. Those creatures get +2/+0 until end of turn.,multi,{W}{R}
Roofstalker Wight,10/1/2005,Ravnica: City of Guilds,Common,.7938,87945,Creature - Zombie,{1}{B},2,1,{1}{U}: Roofstalker Wight gains flying until end of turn.,mono,{U}{B}
Sabertooth Alley Cat,10/1/2005,Ravnica: City of Guilds,Common,.7940,87937,Creature - Cat,{1}{R}{R},2,1,Sabertooth Alley Cat attacks each turn if able.<br>{1}{R}: Creatures without defender can't block Sabertooth Alley Cat this turn.,mono,{R}
Sadistic Augermage,10/1/2005,Ravnica: City of Guilds,Common,.7941,83745,Creature - Human Wizard,{2}{B},3,1,"When Sadistic Augermage dies, each player puts a card from his or her hand on top of his or her library.",mono,{B}
Screeching Griffin,10/1/2005,Ravnica: City of Guilds,Common,.7946,87907,Creature - Griffin,{3}{W},2,2,Flying<br>{R}: Target creature can't block Screeching Griffin this turn.,mono,{W}{R}
Seismic Spike,10/1/2005,Ravnica: City of Guilds,Common,.7950,83829,Sorcery,{2}{R}{R},,,Destroy target land. Add {R}{R} to your mana pool.,mono,{R}
Selesnya Evangel,10/1/2005,Ravnica: City of Guilds,Common,.7951,87936,Creature - Elf Shaman,{G}{W},1,2,"{1}, {T}, Tap an untapped creature you control: Put a 1/1 green Saproling creature token onto the battlefield.",multi,{W}{G}
Selesnya Sanctuary,10/1/2005,Ravnica: City of Guilds,Common,.1725,87963,Land,,,,"Selesnya Sanctuary enters the battlefield tapped.<br>When Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.<br>{T}: Add {G}{W} to your mana pool.",land,{W}{G}
Sell-Sword Brute,10/1/2005,Ravnica: City of Guilds,Common,.7954,87909,Creature - Human Mercenary,{1}{R},2,2,"When Sell-Sword Brute dies, it deals 2 damage to you.",mono,{R}
Sewerdreg,10/1/2005,Ravnica: City of Guilds,Common,.7955,88995,Creature - Spirit,{3}{B}{B},3,3,Swampwalk<br>Sacrifice Sewerdreg: Exile target card from a graveyard.,mono,{B}
Skyknight Legionnaire,10/1/2005,Ravnica: City of Guilds,Common,.1235,109082,Creature - Human Knight,{1}{R}{W},2,2,"Flying, haste",multi,{W}{R}
Sparkmage Apprentice,10/1/2005,Ravnica: City of Guilds,Common,.7963,87967,Creature - Human Wizard,{1}{R},1,1,"When Sparkmage Apprentice enters the battlefield, it deals 1 damage to target creature or player.",mono,{R}
Stone-Seeder Hierophant,10/1/2005,Ravnica: City of Guilds,Common,.7968,89041,Creature - Human Druid,{2}{G}{G},1,1,"Whenever a land enters the battlefield under your control, untap Stone-Seeder Hierophant.<br>{T}: Untap target land.",mono,{G}
Strands of Undeath,10/1/2005,Ravnica: City of Guilds,Common,.7970,83819,Enchantment - Aura,{3}{B},,,"Enchant creature<br>When Strands of Undeath enters the battlefield, target player discards two cards.<br>{B}: Regenerate enchanted creature.",mono,{B}
Surge of Zeal,10/1/2005,Ravnica: City of Guilds,Common,.7976,87956,Instant,{R},,,Radiance- Target creature and each other creature that shares a color with it gain haste until end of turn.,mono,{R}
Surveilling Sprite,10/1/2005,Ravnica: City of Guilds,Common,.7977,87904,Creature - Faerie Rogue,{1}{U},1,1,"Flying<br>When Surveilling Sprite dies, you may draw a card.",mono,{U}
Tattered Drake,10/1/2005,Ravnica: City of Guilds,Common,.7981,87930,Creature - Zombie Drake,{4}{U},2,2,Flying<br>{B}: Regenerate Tattered Drake.,mono,{U}{B}
Terraformer,10/1/2005,Ravnica: City of Guilds,Common,.7983,87905,Creature - Human Wizard,{2}{U},2,2,{1}: Choose a basic land type. Each land you control becomes that type until end of turn.,mono,{U}
Thoughtpicker Witch,10/1/2005,Ravnica: City of Guilds,Common,.7985,83576,Creature - Human Wizard,{B},1,1,"{1}, Sacrifice a creature: Look at the top two cards of target opponent's library, then exile one of them.",mono,{B}
Tidewater Minion,10/1/2005,Ravnica: City of Guilds,Common,.7988,83679,Creature - Elemental Minion,{3}{U}{U},4,4,Defender <i>(This creature can't attack.)</i><br>{4}: Tidewater Minion loses defender until end of turn.<br>{T}: Untap target permanent.,mono,{U}
Torpid Moloch,10/1/2005,Ravnica: City of Guilds,Common,.7989,89004,Creature - Lizard,{R},3,2,Defender <i>(This creature can't attack.)</i><br>Sacrifice three lands: Torpid Moloch loses defender until end of turn.,mono,{R}
Transluminant,10/1/2005,Ravnica: City of Guilds,Common,.7990,87946,Creature - Dryad Shaman,{1}{G},2,2,"{W}, Sacrifice Transluminant: Put a 1/1 white Spirit creature token with flying onto the battlefield at the beginning of the next end step.",mono,{W}{G}
Vedalken Dismisser,10/1/2005,Ravnica: City of Guilds,Common,.7997,87898,Creature - Vedalken Wizard,{5}{U},2,2,"When Vedalken Dismisser enters the battlefield, put target creature on top of its owner's library.",mono,{U}
Vedalken Entrancer,10/1/2005,Ravnica: City of Guilds,Common,.7998,89028,Creature - Vedalken Wizard,{3}{U},1,4,"{U}, {T}: Target player puts the top two cards of his or her library into his or her graveyard.",mono,{U}
